标识,中文,英文,原始翻译,比较
liuShuiQuan,流水券,Turnover voucher,Turnover Vouchers,0
xianJinQuan,现金券,Cash voucher,Cash Vouchers,0
cunSongQuan,存送券,Coupon for deposit,Deposit coupons,0
shiWu,实物,Physical object,Physical,0
laoHuJiJiuJi,老虎机救济金活动,Slot relief event,Slot Machine Relief Activity,0
shouCunHuoDong,首存活动,First deposit,First Deposit Activity,0
tiYuChuangGuanHuo,体育闯关活动,Sports game event,Sports events,0
zhenRenChuangGuanHuo,真人闯关活动,Live game event,Live Dealer Activity,0
fanShuiHuoDong,返水活动,Rebate,Rebate Activity,0
xingYunDaZhuanPan,幸运大转盘活动,Lucky spin event,Lucky Spin Event,1
yinHangKaChongZhi,银行卡充值送红包活动,Getting red packets upon top-up with a bank card,Bank card recharge bonus activity,0
cCQuDao,c2c渠道,c2c channel,c2c channel,1
yinHangKaZhuanZhang,银行卡转账（包括支付宝转账）,Bank card transfer (including Alipay transfer),Bank card transfer (including Alipay transfer),1
xuNiBiZhiFu,虚拟币支付,Cryptocurrency payment,Virtual Coin Payment,0
quanBuQuDao,全部渠道,All channels,All Channels,1
leiJiChongZhi,累计充值,Cumulative top-up,Cumulative recharge,0
danCiChongZhi,单次充值,Single top-up,Single top-up,1
xuYao,需要,Required,Required,1
buXuYao,不需要,Not required,Not required,1
jinBi,金币,coins,Gold Coins,0
wu,无,N/A,None,0
vIPChengZhang,vip成长值,VIP EXP,vip growth value,0
xianJin,现金,Cash,Cash,1
fou,否,No,No,1
shi,是,Yes,Yes,1
vIPDengJi,vip等级,VIP level,vip level,1
fuYingLi,负盈利,Loss,Negative Profit,0
youXiaoTouZhu,有效投注,Valid bet,Valid bets,0
shangZhouLiuShuiZong,上周流水总和,Last week's total turnover,Last week's total flow,0
shangZhouChongZhiZong,上周充值总额,Last week's total top-up,Last week's top-up total,0
wuEWaiQuanZhong,无额外权重,No extra weight,No extra weighting,0
puTongChouJiang,普通抽奖,Ordinary lucky draw,General Sweepstakes,0
songLi,送礼,Gift,Giveaway,0
guanKan,观看,Watch,Watch,1
dangRiDanCiChong,当日单次充值,Single top-up on the day,Single recharge of the day,0
dangRiLeiJiChong,当日累计充值,Cumulative top-up on the day,Accumulated top-ups on the same day,0
renYiTouZhuQuan,任意投注（全平台）,Any bet (all platforms),Arbitrary Bet (All Platforms),0
youXiaoTouZhuQuan,有效投注（全平台）,Valid bets (all platforms),Valid Bets (All Platforms),1
huoYueDengLu,活跃登陆,Active login,Active Login,1
aPPDengLu,app登陆,Login in app,App Login,0
pCDuanDengLu,PC端登陆,Login on PC,PC-side Login,0
hDuanDengLu,H5端登陆,Login at the H5 end,H5 end login,0
renYiDuanDengLu,任意端登陆,Login at any end,Any end login,0
pingLunCiShu,评论次数,Comments,times of comments,0
shaiDan,晒单,Share order,Sunshine,0
faYan,发言,Comment,Statements,0
renYiTouZhuBu,任意投注（部分平台）,Any bet (partial platforms),Arbitrary bets (some platforms),0
youXiaoTouZhuBu,有效投注（部分平台）,Valid bets (partial platforms),Valid bets (some platforms),0
yuLeDuanDengLu,娱乐端登录,Login at the entertainment end,Entertainment end login,0
tiYuDuanDengLu,体育端登录,Login at the Sports end,Sports end login,0
hDuanDengLu2,H5端登录,Login at the H5 end,H5 end login,0
renYiDuanDengLu2,任意端登录,Login at any end,Arbitrary end login,0
guangChangBaoLiao,广场爆料,Square tips,Broadcast,0
zhiBo,直播,Live stream,Live Streaming,0
chongZhi,充值,Top-up,Recharge,0
dengLu,登录,Log in,Login,0
huoYueDengLu2,活跃登录,Active login,Active Login,1
aPPDengLu2,app登录,Login in app,app login,0
touZhu,投注,Bet,Betting,0
dianJingPingTai,电竞平台,Esports platform,Gaming Platform,0
tiYuPingTai,体育平台,Sports platform,Sports Platform,1
zhuBo,主播,Host,host,1
dengLu2,登陆,Login,log in,0
xiaoYuDengYu,小于等于,Less than or equal to,Less than or equal to,1
daYuDengYu,大于等于,Greater than or equal to,Greater than or equal to,1
leiJiYingLi,累计盈利,Cumulative profits,Cumulative Profit,0
leiJiTouZhu,累计投注,Cumulative bets,Cumulative bets,1
cunKuanShuaiJianWan,存款衰减玩家,Players whose deposits decrease,Deposit Declining Players,0
touZhuShuaiJianWan,投注衰减玩家,Players whose bets decrease,Declining Players,0
shangTouWanJia,上头玩家,Addictive players,Top Players,0
banLiuShiWanJia,半流失玩家,Players who barely play,Semi-Churned Players,0
chongZhiJinE,充值金额,Top-up amount,Charge amount,0
huoYueTianShu,活跃天数,Active days,Active days,1
zhouQiNeiBuXian,周期内不限,Unlimited within the period,Unlimited during the cycle,0
meiRiYiCi,每日一次,Once a day,Once a day,1
leiJiZhengYingLi,累计正盈利,Cumulative positive profits,Cumulative Positive Profit,0
leiJiYouXiaoTou,累计有效投注,Total valid bets,Cumulative Active Bet,0
benYue,本月,This month,This Month,1
benZhou,本周,This week,This Week,1
jinTian,今天,Today,Today,1
shangZhou,上周,Last week,Last Week,1
zuoTian,昨天,Yesterday,Yesterday,1
daiLiChongSongHuo,代理充送活动模板,Intermediary top-up & gift event template,Agent Charging and Delivery Campaign Template,0
fanShuiMoBanDan,返水模版（单一）,Rebate template (single),Rebate Template (Single),1
chongZhiSongLiMo,充值送礼模版,Top-up & gift template,Recharge and Gift Template,0
iSMLMi,{val1}会员日模板,{val1} Members' Day template,{val1}Membership Day Template,0
iSMLMi2,{val1}会员日模板（单一）,{val1} Members' Day template (single),{val1}Member Day Template (single),0
yeMianXianShiMo,页面显示模板,Page display template,Page display template,1
jieQingHuoDongMo,节庆活动模板,Festival celebration template,Festive event template,0
xinRenHuoDongMo,新人活动模板,Newcomer event template,Newcomer event template,1
chouJiangHuoDongMo,抽奖活动模板,Lucky draw event template,Sweepstakes event template,0
shouCunMuBan,首存模板,First deposit template,First deposit template,1
tongYongBaiFenBi,通用百分比活动模板,General percentage event template,Generic percentage campaign template,0
tongYongHuoDongMo,通用活动模板,General event template,General activity template,0
vIPTiXian,VIP提现模板,VIP withdrawal template,VIP cash withdrawal template,0
vIPChongZhi,VIP充值模板,VIP top-up template,VIP recharge template,0
saiShiMuBan,赛事模板,Match template,Tournament Templates,0
jingCaiChouJiangMo,竞猜抽奖模板,Quiz draw template,Guessing Sweepstakes Template,0
paiMingJiangLiMo,排名奖励模板,Ranking rewards template,Ranking Reward Template,0
qianDaoMuBan,签到模板,Sign-in template,Sign-in Template,1
tongYongXianShiHuo,通用限时活动模板,General time-limited event template,General Limited Time Event Templates,0
qiTaYouHui,其他优惠,Other offers,Other Promotions,0
fanShuiYouHui,返水优惠,Rebate offers,Rebate Promotions,0
dianZiYouHui,电子优惠,E-game offers,Electronic Promotions,0
caiPiaoYouHui,彩票优惠,Lottery offers,Lottery Promotions,0
tiYuYouHui,体育优惠,Sports game offers,Sports Promotions,0
zhenRenYouHui,真人优惠,Live game offers,Live Promotions,0
hDuan,H5端,H5 end,H5,0
yuLeDuan,娱乐端,Entertainment end,Entertainment,0
tiYuDuan,体育端,Sports end,Sports,0
pCDuan,PC端,PC end,PC,0
xianShiKaiFang,限时开放,Available for limited time,Open for a limited time,0
zanBuKaiFang,暂不开放,Unavailable for now,Temporarily open,0
wuXianQiKaiFang,无限期开放,Available for unlimited time,Open indefinitely,0
jinYong,禁用,Disable,Disable,1
kaiQi,开启,Enable,Open,0
guanLianDingDanHao,关联订单号,Associated order No.,Related order number,0
ziJinTiaoZhengDan,资金调整单号,Fund adjustment order No.,Fund Adjustment Order Number,0
daoZhangShiJian,到账时间,Receipt time,Time of arrival,0
shenQingShiJian,申请时间,Request time,Application Time,0
qiYong,启用,Enable,Enable,1
zhuanShuYuMing,专属域名,Exclusive domain name,Exclusive Domain Name,1
puTongYuMing,普通域名,Common domain name,Common Domain Name,1
shanChuUSD,删除USDT提现地址,Delete USDT withdrawal address,Delete USDT withdrawal address,1
shenQingRenGongBang,申请人工绑卡,Request manual card binding,Apply for manual card activation,0
daiLiZhuanZhangDao,代理转账到会员账号,Agent transfer to member account,Agent transfer to member account,1
xiangShangJiDaiLi,向上级代理转账,Transfer to superior agent,Transfer to higher level agent,0
xiangXiaJiDaiLi,向下级代理转账,Transfer to subordinate agent,Transfer money to lower level agents,0
sheZhiDaiLiXin,设置代理信用额度,Set agent's credit limit,Set agent credit limit,0
sheZhiDaiLiKe,设置代理可提现额度,Set agent's withdrawable limit,Set the amount of withdrawable funds for agents,0
xiuGaiDaiLiZhuan,修改代理转账设置,Modify agent's transfer settings,Modify agent transfer settings,0
xiuGaiDaiLiYong,修改代理佣金链规则,Modify agent's commission chain rules,Modify agent commission chain rules,0
xiuGaiDaiLiShou,修改代理手续费规则,Modify agent's service fee rules,Modify agent commission rules,0
xiuGaiHuiYuanDai,修改会员代充权限,Modify the permission of top-up by members,Modify member discretionary deposit authority,0
xiuGaiDaiLiShou2,修改代理授信权限,Modify agent credit permission,Modify agent credit authority,0
daiChongQingSuanRen,代充清算-人工操作清算,Intermediary top-up settlement - Manual operation settlement,Discretionary deposit clearing - manual operation clearing,0
daiChongQingSuanYin,代充清算-银行卡充值清算,Intermediary top-up settlement - Bank card top-up settlement,Discretionary deposit clearing - bank card deposit clearing,0
xiuGaiDaiLiChuang,修改代理创建下级代理权限,Modify the agent's permission to create subordinate agents,Modify agent's permission to create subordinate agents,0
shouXinYuDaiChong,授信与代充设置变更,Changes to credit and intermediary top-up settings,Change of credit and discretionary deposit settings,0
daiChongFanLiFang,代充返利方案变更,Changes to rebate plan for intermediary top-up,Change of discretionary deposit rebate,0
shouDongCengJiBian,手动层级变更,Manual level change,Change of manual level,0
daiLiLeiXingBian,代理类型变更,Agent type change,Change of agent type,0
daiChongQingSuanZhang,代充清算-账户余额清算,Intermediary top-up settlement - Account balance settlement,Discretionary deposit clearing-account balance clearing,0
xiuGaiShangFenShe,修改上分设置,Modify top-up settings,Modify credit settings,0
shanChuYinHangKa,删除银行卡,Delete bank card,Delete Bank Card,1
jieChuSuoDing,解除锁定,Unlock,Unlock,1
dengLuSuoDing,登录锁定,Login lock,Login Lock,1
zhongZhiYinHangXin,重置银行信息,Reset bank information,Reset bank information,1
bianGengLianXiFang,变更联系方式,Change contact information,Change contact information,1
bianGengShangJiDai,变更上级代理,Change superior agent,Change parent agent,0
tiXianEDuTiao,提现额度调整,Change withdrawable amount,Adjust cash withdrawal limit,0
xiuGaiXiangXiaJi,修改向下级代理转账设置,Modify the settings of transferring to subordinate agents,Modify transfer settings to subordinate agents,0
sheZhiXinYongE,设置信用额度,Set credit limit,Set credit limit,1
guanBi,关闭,Close,Close,1
neiBuDaiLi,内部代理,Internal agent,Internal Agent,1
waiBuDaiLi,外部代理,External agents,External Agent,0
xiuGaiDaiLiAn,修改代理安全密码,Modify agent's security password.,Modify agent security password,0
xiuGaiDaiLiZi,修改代理资金密码,Change agent's fund password.,Modify agent funds password,0
chuangJianXiaJiDai,创建下级代理,Create subordinate agent,Create lower level agents,0
jieBangYinHangKa,解绑银行卡,Unbind bank card,Unbind bank card,1
bangDingYinHangKa,绑定银行卡,Bind bank card,Bind bank card,1
youXiangZhaoHuiDeng,邮箱找回-登录密码,Retrieve via email - Login password,E-mail retrieval-login password,0
shouJiZhaoHuiDeng,手机找回-登录密码,Retrieve via phone - Login password,Cell phone retrieval-login password,0
xiuGaiMiMa,修改密码,Change password,Change password,1
bangDingShouJi,绑定手机,Bind phone No.,Bind cell phone,0
bianJiXingBie,编辑性别,Edit gender,Edit gender,1
bianJiShengRi,编辑生日,Edit birthday,Edit birthday,1
yueJieSuan,月结算,Monthly settlement,Monthly Settlement,1
banYueJieSuan,半月结算,Semi-monthly settlement,Semi-Monthly Settlement,1
zhouJieSuan,周结算,Weekly settlement,Weekly,0
zhengZaiJieSuan,正在结算,Settling,In progress,0
weiDaBiao,未达标,Requirement not met,Not met,0
shiBai,失败,Failed,Failure,0
chengGong,成功,Successful,Successful,1
chuLiZhong,处理中,Processing,Processing,1
cuoWuDaiChongKou,错误代充扣回,Deduction for incorrect intermediary top-up,Wrong Discretionary Deposit Return,0
yongJin,佣金,Commission,Commission,1
tiXianTuiHui,提现退回,Withdrawal returned,Withdrawal refund,0
jiaBiBuJiHong,加币（不计红利）,Top-up (excluded from bonus),Canadian dollars (not counting bonuses),0
tiKuan,提款,Withdrawal,Withdrawals,0
cunKuan,存款,Deposit,Deposit,1
xiaJiSuoDing,下级锁定,Subordinate lock,Subordinate Lock,1
benJiSuoDing,本级锁定,Current level lock,Home level lock,0
beiZhu,备注,Remark,Remarks,0
xiaJiDaiLi,下级代理,Subordinate agent,Subordinate Agent,1
shouJiHao,手机号,Mobile number,Cell phone number,0
yinHangKa,银行卡,Bank card,Bank Card,1
daiLiZhangHao,代理账号,Agent account,Agent account number,0
buTongGuo,不通过,Rejected,Not through,0
tongGuo,通过,Passed,Pass,0
youXiang,邮箱,Email,Email,1
shangJiDaiLi,上级代理,Superior agent,Parent Agent,0
xingMing,姓名,Name,Name,1
keYiHuiYuan,可疑会员,Suspicious members,Suspicious member,0
wenTiHuiYuan,问题会员,Problematic members,Questionable member,0
chouJianTongGuo,抽检通过,Inspection passed,Passed,0
daiChouJian,待抽检,To be inspected,Pending,0
xiTongDingDanChuang,系统-订单创建失败,System - Failed to create an order,System-Order Creation Failure,0
sanFangDingDanChuang,三方-订单创建失败,Third-party - Failed to create an order,Three party-order creation failure,0
shenHeJuJue,审核拒绝,Rejected,Audit Rejected,0
shenHeTongGuo,审核通过,Approved,Audit passed,0
dengDaiFuKuanJ,等待付款js,To be paid js,Waiting for payment js,0
daiQueRenDaoZhang,待确认到帐js,Pending receipt confirmation js,Pending confirmation to account js,0
buFenTuiHuiCheng,部分退回成功js,Partially returned js,Partially returned successfully js,0
buFenTuiHuiZhong,部分退回中js,Partially returning js,Partial return in progressjs,0
chaoShiWeiQueRen,超时未确认到账js,Failed to confirm receipt within the specified time js,Timeout not confirmed js,0
chuKuanZhuanYuanChu,出款专员处理中,Payout specialist processing,Processing by the disbursement specialist,0
sanFangZiDongChu,三方自动出款中,3rd-party auto payout in progress,Three party automatic payment in progress,0
juJueQiangZhiCheng,拒绝强制成功,Enforcement denied,Refused to force success,0
tongGuoQiangZhiCheng,通过强制成功,Forced successfully.,Forced success through,0
ziDongChuKuanShi,自动出款失败,Auto payout failed.,Automatic disbursement failed,0
shenQingQiangZhiCheng,申请强制成功中,Successful enforcement request,Forced successful application,0
juJueTuiHui,拒绝退回,Reject return,Refused to return,0
tuiHuiChengGong,退回成功,Returned,Refund successful,0
shenQingTuiHuiZhong,申请退回中,Requesting return,Application for refund in progress,0
juJueChuKuanChu,拒绝出款（出款失败）,Payout rejected (payout failed),Refusal to make a withdrawal (withdrawal failure),0
chuKuanChengGong,出款成功,Payout successful,Withdrawal successful,0
fengXianShenHeTong,风险审核通过（待出款）,Risk review approved (pending payout),Risk review passed (pending disbursement),0
fengXianShenHeJu,风险审核拒绝,Risk review rejected,Risk review rejected,1
fengXianDaiShenHe,风险待审核,Pending risk review,Risk Pending Review,0
geZhi,搁置,Suspend,On hold,0
qiangZhiChengGong,强制成功,Forced successfully,Forced successful,0
sanFangShouDongChu,三方手动出款,Third-party manual payout,Three-party manual disbursement,0
ziDongChuKuan,自动出款,Auto payout,Automatic disbursement,0
renGongDaKuan,人工打款,Manual payment,Manual Deposit,0
daECunKuan,大额存款,Large deposit,Large Deposit,1
puTongCunKuan,普通存款,Ordinary deposit,Regular Deposit,0
jiSuZhiFuBao,极速支付宝支付,Express Alipay payment,Extreme Alipay Payments,0
jiSuWeiXinZhi,极速微信支付,Express WeChat payment,Speedy WeChat Payment,0
kuaiJieQianBao,快捷钱包,Quick wallet,Quick Wallet,1
yunShanFu,云闪付,UnionPay,Cloud Flash Payment,0
qQZhiFu,QQ支付,QQ payment,QQ Pay,0
jingDongZhiFu,京东支付,JD Pay,Jingdong Payment,0
yinLianSaoMa,银联扫码,Scan code with UnionPay,UnionPay Sweep,0
kuaiJieZhiFu,快捷支付,Express payment,Quick Pay,0
weiXinZhiFu,微信支付,WeChat Pay,WeChat Pay,1
zhiFuBaoZhiFu,支付宝支付,Alipay,Alipay Payment,0
wangYinZhiFu,网银支付,E-bank payment,NetBank Payment,0
weiXinZhuanZhang,微信转账,WeChat transfer,WeChat transfer,1
zhiFuBaoZhuanZhang,支付宝转账,Alipay transfer,Alipay Transfer,1
yinHangKaZhuanZhang,银行卡转账,Bank card transfer,Bank Card Transfer,1
yiShenHe,已审核,Reviewed,Reviewed,1
shangHuTiBiChu,商户提币出款,Merchant withdrawal,Merchant withdrawing money out,0
yongHuQianBaoYu,用户钱包余额归集,User wallet balance accumulation,User Wallet Balance Collection,0
yongHuTiBiChu,用户提币出款,User withdrawal,User withdrawals and withdrawals,0
qiPai,棋牌,Table games,Chess,0
dianJing,电竞,Esports,Gaming,0
buYu,捕鱼,Fishing,Fishing,1
laoHuJi,老虎机,Slot,Slot Machines,0
tiYu,体育,Sports,Sports,1
zhenRen,真人,Live casino,Real Life,0
caiPiao,彩票,Lottery,Lottery,1
vIPMeiYue,VIP每月红包,VIP monthly red packet,VIP Monthly Bonus,0
vIPShengRi,VIP生日礼金,VIP birthday gift,VIP Birthday Bonus,0
vIPShengJi,VIP升级礼金,VIP upgrade bonus,VIP Upgrade Bonus,1
xiaZhuShiJian,下注时间,Bet placing time,Betting time,0
chongZhiShiJian,充值时间,Top-up time,Recharge Time,0
dengLuShiJian,登录时间,Login time,Login time,1
weiZhi,未知,Unknown,Unknown,1
fanShuiJinE,返水金额,Rebate amount,Rebate amount,1
youHuiJinE,优惠金额,Discount amount,Offer amount,0
gongSiYingKui,公司盈亏,Company profit and loss,Company Profit/Loss,0
xiaZhuJinE,下注金额,Bet amount,Bet Amount,1
tiXianJinE,提现金额,Withdrawal amount,Withdrawal amount,1
shouCunJinE,首存金额,First deposit amount,First Deposit Amount,1
zuiJinSanShiTian,最近三十天,Last 30 days,Last 30 days,1
zuiJinQiTian,最近七天,Last 7 days,Last 7 days,1
daiLiDaiChong,代理代充,Top-up by agent,Agent Discretionary Deposit,0
huiYuanShouCun,会员首存,First deposit by member,First Deposit,0
quanBuShuJu,全部数据,All data,All Data,1
xuNiShuJu,虚拟数据,Virtual data,Virtual Data,1
zhenShiShuJu,真实数据,Real data,Real Data,1
shanChuZhong,删除中,Deleting,Deleting,1
shanChu,删除,Delete,Deleting,0
youXiao,有效,Valid,Valid,1
wuCaoZuo,无操作,No operation,No operation,1
shenHeZhong,审核中,Under review,Reviewing,0
yiShanChu,已删除,Deleted,Deleted,1
shiYongZhong,使用中,In use,In use,1
xiTongCheXiao,系统撤销,Canceled by system,System Cancellation,0
zhuDongCheDan,主动撤单,Canceled by user,Active cancellation,0
xiTongCheDan,系统撤单,Canceled by system,System withdrawal,0
weiZhongJiang,未中奖,Not won,Unwinned,0
yiZhongJiang,已中奖,Won,Jackpot won,0
weiKaiJiang,未开奖,Not drawn,Unopened,0
wuXiaoDingDan,无效订单,Invalid order,Invalid order,1
yiQuXiao,已取消,Canceled,Cancelled,0
yiJieSuan,已结算,Settled,Cleared,0
weiJieSuan,未结算,Unsettled,Not cleared,0
cuoWuShangFenKou,错误上分扣回,Deduction for incorrect top-up,Wrong score deduction,0
shangFenCaoZuo,上分操作,Top-up operation,Crediting operation,0
fanShui,返水,Rebate,Refund,0
yingChaoHuoDong,英超活动,EPL events,EPL Activities,0
vIPJiangLi,VIP奖励-每月VIP红包,VIP rewards - Monthly VIP red packet,VIP Rewards - Monthly VIP Bonus,0
vIPJiangLi2,VIP奖励-生日礼金,VIP rewards - Birthday bonus,VIP Rewards - Birthday Bonus,1
vIPJiangLi3,VIP奖励-升级礼金,VIP rewards - Upgrade bonus,VIP bonus-Upgrade bonus,0
duanWuJieHuoDong,端午节活动,Dragon Boat Festival events,Dragon Boat Festival Activities,0
chunJieHuoDongHong,春节活动-红包雨红利,Spring Festival events - Red packet rain bonus,Spring Festival Activities-Red Packet Rain Bonus,0
chunJieHuoDongTi,春节活动-体育充提红利,Spring Festival events - Bonus for sports top-up,Spring Festival Activities-Sports Charging Bonus,0
chunJieHuoDongZa,春节活动-砸金蛋红利,Spring Festival events - Bonus for smashing golden eggs,Spring Festival Activities-Smashing Golden Egg Bonus,0
zhenRenChuangGuanHong,真人闯关红利,Bonus for live games,Real people breaking bonus,0
laoHuJiJiuYuan,老虎机救援红利,Bonus for slot machine insurance,Slot Machine Rescue Bonus,0
tiYuChuangGuanHong,体育闯关红利,Bonus for sports games,Sports Breakout Bonuses,0
zhenRenLianYingHong,真人连赢红利,Bonus for consecutive wins of live games,Real Win Bonuses,0
shouChongHongLi,首充红利,Bonus for first top-up,First Charge Bonus,0
hongLiBaoKuoJia,红利（包括加币-计入红利）,Bonus (including top-up - included in bonus),Bonuses (including Canadian dollars - counted as bonuses),0
zhuanZhang,转账,Transfer,Transfer,1
tiXianDongJieJin,提现冻结金额,Frozen withdrawal amount,Withdrawal Freeze Amount,0
zhongXinQianBao,中心钱包,Main wallet,Central Wallet,0
fengXianChuLiRen,风险处理人,Risk handler,Risk Handler,1
tiXianDanHao,提现单号,Withdrawal order No.,Withdrawal slip number,0
zhangHaoMing,账号名,Account name,Account Name,1
zhuanZhangYiChangJian,转帐异常监控,Transfer exception monitoring,Transfer exception monitoring,1
daETiXian,大额提现,Large cash withdrawal,Large withdrawals,0
fuShuQianBao,负数钱包,Negative wallet,Negative Wallet,1
tiXianSheBeiChong,提现设备冲突,Withdrawal device conflict,Withdrawal Device Conflict,1
tiXianIPChong,提现IP冲突,Withdrawal IP conflict,Withdrawal IP conflict,1
riLeiJiJinE,7日累积金额过大,The 7-day cumulative amount is too large.,Excessive 7-day accumulation amount,0
liRunYiChang,利润异常,Abnormal profit,Abnormal profit,1
pinFanTiXian,频繁提现,Frequent withdrawals,Frequent withdrawals,1
dangRiJinEGuo,当日金额过大,The amount of the day is too large.,Excessive amount for the day,0
danBiJinEGuo,单笔金额过大,The single amount is too large.,Single withdrawal amount is too large,0
shouTiJinEGuo,首提金额过大,The first withdrawal amount is too large.,First withdrawal amount is too large,0
fengXianShenHeGe,风险审核搁置,Risk review suspended,Risk review on hold,0
fengXianShenHeTong,风险审核通过,Risk review passed,Risk clearance approved,0
laoHuiYuan,老会员,Existing members,Old Members,0
xinHuiYuan,新会员,New members,New members,1
hGuangChangYeMian,h5-广场页面-爆料轮播-夜间模式,H5 - Square page - Tips carousel - Night mode,h5-Plaza Page - News Rotation - Night Mode,0
hGuangChangYeMian2,h5-广场页面-爆料轮播-日间模式,H5 - Square page - Tips carousel - Day mode,h5-Plaza page - news rotation - day mode,0
hGuangChangYeMian3,h5-广场页面-资讯活动轮播-夜间模式,H5 - Square page - Information event carousel - Night mode,h5-Plaza Page - News & Events - Night Mode,0
hGuangChangYeMian4,h5-广场页面-资讯活动轮播-日间模式,H5 - Square page - Information event carousel - Day mode,h5-Plaza page-Information and event rotation-Day mode,0
hGuangChangYeMian5,h5-广场页面-主播轮播-夜间模式,H5 - Square page - Streamer carousel - Night mode,h5-Plaza page-Host rotation-Night mode,0
hGuangChangYeMian6,h5-广场页面-主播轮播-日间模式,H5 - Square page - Streamer carousel - Day mode,h5-Plaza Page - Host Rotation - Day Mode,0
hGeRenZhongXin,h5-个人中心-轮播图,H5 - Personal center - Carousel images,h5-Personal Center-Roller,0
hShouYeSaiShi,h5-首页-赛事banner,H5 - Home - Match banner,h5-Home-Event banner,0
hShouYeYouXi,h5-首页-游戏运营-电子--夜间模式,H5 - Home - Game operation - Electronic game - Night mode,h5-home-game-operations-electronic-night-mode,0
hShouYeYouXi2,h5-首页-游戏运营-体育--夜间模式,H5 - Home - Game operation - Sports - Night mode,h5-home-game-operate-sports-night-mode,0
hShouYeYouXi3,h5-首页-游戏运营-竞技--夜间模式,H5 - Home - Game operation - Competition - Night mode,h5-home-game-operation-competition-night-mode,0
hShouYeYouXi4,h5-首页-游戏运营-彩票--夜间模式,H5 - Home - Game operation - Lottery - Night mode,h5-home-game-operate-lottery-night-mode,0
hShouYeYouXi5,h5-首页-游戏运营-棋牌--夜间模式,H5 - Home - Game operation - Card game - Night mode,h5-home-game-operate-chess-night-mode,0
hShouYeYouXi6,h5-首页-游戏运营-真人-夜间模式,H5 - Home - Game operation - Live game - Night mode,h5-home-game-operate-live-action-night-mode,0
hShouYeYouXi7,h5-首页-游戏运营-电子--日间模式,H5 - Home - Game operation - Electronic game - Day mode,h5-home-game-operations-electronics-Day mode,0
hShouYeYouXi8,h5-首页-游戏运营-体育--日间模式,H5 - Home - Game operation - Sports - Day mode,h5-home-game-operate-sports-day-mode,0
hShouYeYouXi9,h5-首页-游戏运营-电竞--日间模式,H5 - Home - Game operation - Esports - Day mode,h5-home-game-operation-electronic--day mode,0
hShouYeYouXi10,h5-首页-游戏运营-彩票--日间模式,H5 - Home - Game operation - Lottery - Day mode,h5-home-game-operate-lottery--day mode,0
hShouYeYouXi11,h5-首页-游戏运营-棋牌--日间模式,H5 - Home - Game operation - Card game - Day mode,h5-home-game-operate-chess--day mode,0
hShouYeYouXi12,h5-首页-游戏运营-真人-日间模式,H5 - Home - Game operation - Live Game - Day mode,h5-home-game-operate-live-action-day mode,0
aPPGuangChang,app-广场页面-爆料轮播-夜间模式,App - Square page - Tips carousel - Night mode,app-Plaza page-Breaking news rotation-Night mode,0
aPPGuangChang2,app-广场页面-爆料轮播-日间模式,App - Square page - Tips carousel - Day mode,app-plaza page-Breaking news rotation-Day mode,0
aPPGuangChang3,app-广场页面-资讯活动轮播-夜间模式,App - Square page - Information event carousel - Night mode,app-plaza page-information event rotation-night mode,0
aPPGuangChang4,app-广场页面-资讯活动轮播-日间模式,App - Square page - Information event carousel - Day mode,app-plaza page - event rotation - day mode,0
aPPGuangChang5,app-广场页面-主播轮播-夜间模式,App - Square page - Streamer carousel - Night mode,app-plaza page - anchor rotation - night mode,0
aPPGuangChang6,app-广场页面-主播轮播-日间模式,App - Square page - Streamer carousel - Day mode,app-Plaza page - anchor rotation - day mode,0
aPPGeRen,app-个人中心-轮播图,App - Personal center - Carousel images,app-Personal Center-Roller,0
aPPShouYe,app-首页-赛事banner,App - Home - Match banner,app-Home-Event banner,0
aPPShouYe2,app-首页-游戏运营-电子--夜间模式,App - Home - Game operation - Electronic game - Night mode,app-Home-Game operation-Electronics-Night mode,0
aPPShouYe3,app-首页-游戏运营-体育--夜间模式,App - Home - Game operation - Sports - Night mode,app-home-game operation-sports-night mode,0
aPPShouYe4,app-首页-游戏运营-电竞--夜间模式,App - Home - Game operation - Esports - Night mode,app-home-game-operate-gaming-night mode,0
aPPShouYe5,app-首页-游戏运营-彩票--夜间模式,App - Home - Game operation - Lottery - Night mode,app-Home-game-operate-lottery--Night mode,0
aPPShouYe6,app-首页-游戏运营-棋牌--夜间模式,App - Home - Game operation - Card game - Night mode,app-Home-Game-Operation-Chess-Night Mode,0
aPPShouYe7,app-首页-游戏运营-真人-夜间模式,App - Home - Game operation - Live game - Night mode,app-home-game-operate-live-action-night-mode,0
aPPShouYe8,app-首页-游戏运营-电子--日间模式,App - Home - Game operation - Electronic game - Day mode,app-Home-Game-Operation-Electronics-Day Mode,0
aPPShouYe9,app-首页-游戏运营-体育--日间模式,App - Home - Game operation - Sports - Day mode,app-Home-Game-Operation-Sports-Day Mode,0
aPPShouYe10,app-首页-游戏运营-电竞--日间模式,App - Home - Game operation - Esports - Day mode,app-Home-Game-Operation-Electronics-Day Mode,0
aPPShouYe11,app-首页-游戏运营-彩票--日间模式,App - Home - Game operation - Lottery - Day mode,app-home-game-operate-lottery--day mode,0
aPPShouYe12,app-首页-游戏运营-棋牌--日间模式,App - Home - Game operation - Card game - Day mode,app-Home-game-operate-chess--day mode,0
